RACE,DATE,COND,DIST,SURF,FIN,ODDS,HORSE,JOCKEY,TRAINER,SIRE,BR-SIRE,LAST RACE,WATCH,NOTES,START_TIME,END_TIME
2,2016-07-22,MSW-F-NY,5.5,D,1,8.8,Bliss to You,"Cancel, Eric","Cash, Russell",Freud,Candy Stripes,MTH 6-6/18/16 4,,,2016-07-22 14:00:00,2016-07-22 14:01:11.500
2,2016-07-22,MSW-F-NY,5.5,D,2,6.2,Ribbonite,"Davis, Dylan","Davis, Robbie",Griffinite,Western Expression,,,,2016-07-22 14:00:00,2016-07-22 14:01:11.500
2,2016-07-22,MSW-F-NY,5.5,D,3,0.45,Seattle Ice Queen,"Ortiz, Jose","Levine, Bruce",Frost Giant,Indian Charlie,,,,2016-07-22 14:00:00,2016-07-22 14:01:11.500
2,2016-07-22,MSW-F-NY,5.5,D,4,4.0,Messer Misfit,"Carmouche, Kendrick","Smith, Guy",Drosselmeyer,Sea of Secrets,,,,2016-07-22 14:00:00,2016-07-22 14:01:11.500
2,2016-07-22,MSW-F-NY,5.5,D,5,12.4,Icy Girl,"Lezcano, Jose","Hertler, John",Frost Giant,Mass Media,,,,2016-07-22 14:00:00,2016-07-22 14:01:11.500
6,2016-07-22,MSW-F,5.5,D,1,2.85,Bowie,"Geroux, Florent","Asmussen, Steven",Malibu Moon,Unbridled's Song,,Y,,2016-07-22 18:00:00,2016-07-22 18:01:11.500
6,2016-07-22,MSW-F,5.5,D,2,4.8,Special Risk,"Ortiz, Irad","Rodriguez, Rudy",Eskendereya,Macho Uno,BEL 2-5/18/16 3,,,2016-07-22 18:00:00,2016-07-22 18:01:11.500
6,2016-07-22,MSW-F,5.5,D,3,13.9,Torrent,"Ortiz, Jose","Moquett, Ronald",Blame,Yankee Gentleman,,,,2016-07-22 18:00:00,2016-07-22 18:01:11.500
6,2016-07-22,MSW-F,5.5,D,4,3.15,Jumby Bay,"Velazquez, John","Pletcher, Todd",City Zip,Tiznow,,,,2016-07-22 18:00:00,2016-07-22 18:01:11.500
6,2016-07-22,MSW-F,5.5,D,5,2.55,La Coronel,"Leparoux, Julien","Casse, Mark",Colonel John,Chester House,CD 4-6/17/16 4,,,2016-07-22 18:00:00,2016-07-22 18:01:11.500
6,2016-07-22,MSW-F,5.5,D,6,10.9,My Sweet Stella,"Santana, Ricardo","Lukas, D. Wayne",Eskendereya,Songandaprayer,,,,2016-07-22 18:00:00,2016-07-22 18:01:11.500
6,2016-07-22,MSW-F,5.5,D,7,15.9,Sunday Gravy,"Castellano, Javier","Contessa, Gary",Unbridled's Song,Gone West,BEL 1-6/22/16 6,,,2016-07-22 18:00:00,2016-07-22 18:01:11.500
6,2016-07-22,MSW-F,5.5,D,8,30.0,She's Had Enough,"Luzzi, Michael","Jolley, Leroy",Stay Thirsty,Two Punch,,,,2016-07-22 18:00:00,2016-07-22 18:01:11.500
8,2016-07-22,GRD-F,6.0,D,1,4.4,Sweet Loretta,"Velazquez, John","Pletcher, Todd",Tapit,Bluegrass Cat,MTH 6-6/18/16 1,,,2016-07-22 20:00:00,2016-07-22 20:01:18.000
